strategy,nice,retaliates,forgiving,envious
Neutral (0),,False,True,False
AlwaysDefect (0),False,True,False,True
Tit4TatB (0),False,True,True,False
Tit4Tat (0),True,True,True,False
Average5 (0),True,True,True,False
GoodWill (0),True,True,True,False
AlwaysCooperate (0),True,False,True,False
