round,investment,payoff
1,1.0,0.0
2,0.19999999999999996,0.4
3,0.03999999999999998,0.48
4,0.007999999999999993,0.5
5,0.0015999999999999981,0.5
6,0.00031999999999999954,0.5
7,6.399999999999988e-05,0.5
8,1.2799999999999972e-05,0.5
9,2.559999999999994e-06,0.5
10,5.119999999999987e-07,0.5
11,1.023999999999997e-07,0.5
12,2.047999999999993e-08,0.5
13,4.095999999999986e-09,0.5
14,8.191999999999969e-10,0.5
15,1.638399999999993e-10,0.5
16,3.276799999999986e-11,0.5
17,6.553599999999971e-12,0.5
18,1.3107199999999938e-12,0.5
19,2.621439999999988e-13,0.5
20,5.2428799999999746e-14,0.5
