round,investment,payoff
1,1.0,0.5
2,0.9,0.55
3,0.8200000000000001,0.59
4,0.756,0.62
5,0.7048,0.65
6,0.66384,0.67
7,0.631072,0.68
8,0.6048576,0.7
9,0.58388608,0.71
10,0.5671088639999999,0.72
11,0.5536870911999999,0.72
12,0.54294967296,0.73
13,0.534359738368,0.73
14,0.5274877906944,0.74
15,0.52199023255552,0.74
16,0.517592186044416,0.74
17,0.5140737488355328,0.74
18,0.5112589990684262,0.74
19,0.5090071992547409,0.75
20,0.5072057594037928,0.75
