round,investment,payoff
1,1.0,0.0
2,0.8,0.1
3,0.64,0.18
4,0.512,0.24
5,0.4096,0.3
6,0.32768,0.34
7,0.26214400000000004,0.37
8,0.20971520000000005,0.4
9,0.16777216000000003,0.42
10,0.13421772800000004,0.43
11,0.10737418240000003,0.45
12,0.08589934592000002,0.46
13,0.06871947673600001,0.47
14,0.05497558138880001,0.47
15,0.04398046511104001,0.48
16,0.035184372088832,0.48
17,0.028147497671065603,0.49
18,0.02251799813685248,0.49
19,0.018014398509481985,0.49
20,0.014411518807585589,0.49
