round,investment,payoff
1,1.0,0.5
2,0.09999999999999998,0.95
3,0.8200000000000001,0.59
4,0.24399999999999988,0.88
5,0.7048000000000001,0.65
6,0.3361599999999999,0.83
7,0.6310720000000001,0.68
8,0.3951423999999999,0.8
9,0.5838860800000001,0.71
10,0.43289113599999995,0.78
11,0.5536870912,0.72
12,0.45705032704,0.77
13,0.534359738368,0.73
14,0.4725122093056,0.76
15,0.52199023255552,0.74
16,0.48240781395558396,0.76
17,0.5140737488355328,0.74
18,0.48874100093157374,0.76
19,0.509007199254741,0.75
20,0.4927942405962072,0.75
