round,investment,payoff
1,1.0,0.0
2,0.4,0.3
3,0.16000000000000003,0.42
4,0.06400000000000002,0.47
5,0.025600000000000005,0.49
6,0.010240000000000003,0.49
7,0.0040960000000000015,0.5
8,0.0016384000000000008,0.5
9,0.0006553600000000004,0.5
10,0.0002621440000000002,0.5
11,0.00010485760000000007,0.5
12,4.194304000000003e-05,0.5
13,1.6777216000000013e-05,0.5
14,6.710886400000005e-06,0.5
15,2.684354560000002e-06,0.5
16,1.073741824000001e-06,0.5
17,4.294967296000004e-07,0.5
18,1.717986918400002e-07,0.5
19,6.871947673600008e-08,0.5
20,2.7487790694400032e-08,0.5
